ID,Name,Category,Address,Phone,Email,Website,Linked in,Facebook,Twitter,Google plus,Yelp,Yelp Rating,Yelp number of reviews,Yelp tags,Youtube,Instragram
1,Zenyasa Yoga & Wellness Studio,Yoga;Massage therapy,"155 W. 72nd Street, #601, New York, NY  10023",(646)496-5526,,http://www.zenyasastudio.com/,,,,,http://www.yelp.com/biz/zenyasa-yoga-and-wellness-studio-new-york?osq=zenyasa+studio,4.5,5,,,
2,OM Factory NYC - Fashion District,Yoga,"265 West 37th Street, 17th Floor New York, NY 10018",212.616.8662,staff@omfactorynyc.com,http://www.omfactorynyc.com/,,http://www.facebook.com/OmFactoryNYC,http://twitter.com/#!/OMFactory,,http://www.yelp.com/biz/om-factory-yoga-new-york-2,4.5,95,,,
3,Sal Anthony?s Movement Salon,"Pilates,A.I.M.,Gyrotonic,Yoga,Massage,","190 3rd Ave, New York, NY 10003",(212) 420-7242,reception@movementsalon.com,http://movementsalon.com/,,https://www.facebook.com/SalAnthonyMovementSalon,https://twitter.com/movementsalon,,http://www.yelp.com/biz/sal-anthonys-movement-salon-new-york,4.5,113,,https://www.youtube.com/user/movementsalon,
4,OM Factory NYC - Union Square,Yoga,"873 Broadway Suite 202 New York, NY 10003 ",212.353.3500,staff@omfactorynyc.com,http://www.omfactorynyc.com/,,http://www.facebook.com/OmFactoryNYC,http://twitter.com/#!/OMFactory,,http://www.yelp.com/biz/om-factory-flight-school-manhattan,4,33,,,
5,Muscular Therapy Center,"sports therapy,Massage therapy","1674 Broadway,Suite 703,New York, New York 10019",(212) 957-1561,sparky@themusculartherapycenter.com,http://www.themusculartherapycenter.com/,,https://www.facebook.com/TheMuscularTherapyCenter,,,http://www.yelp.com/biz/muscular-therapy-center-new-york,0,0,,,
6,Essential body wisdom,Massage therapy,"130 W 56th St, New York, NY 10019",917 747 4557,,http://www.essentialbodywisdom.com/,https://www.linkedin.com/pub/gina-flores/16/ba0/8a8,https://www.facebook.com/EssentialBodyWisdom.GinaFlores,https://twitter.com/GinaFloresEBW,https://plus.google.com/u/0/104294729357375422185/posts,,,,,,
7,Owner Spreading Love Through Touch,Massage therapy,,(917) 397-2848,,http://www.spreadinglovethroughtouch.com/,,,,,http://www.yelp.com/biz/spreading-love-through-touch-new-york,,,,,
8,Body Mechanics Orthopedic Massage,Massage therapy,"315 MADISON AVENUE NEW YORK, NY 10017",(212)-600-4808,,http://www.bodymechanicsnyc.com/,,https://www.facebook.com/ZenBodyMechanics,https://twitter.com/BodyMechanicsNY,https://plus.google.com/+Bodymechanicsnyc-massage/posts/p/pub,http://www.yelp.com/biz/body-mechanics-orthopedic-massage-new-york-3,5,86,"Clean,Decoratrive,luxury,boutique",https://youtu.be/kRqlHgxUeWU,
9,"Massage By netranie, LLC",Massage therapy,"369 Lexington Ave, 19th Floor New York, NY 10017 ","347 - 495 - 8844,347 - 441 - 6531",massagebynetranie@yahoo.com,http://www.massagebynetranie.com/,https://www.linkedin.com/vsearch/p?company=Massage+By+netranie%2C+LLC&trk=prof-exp-company-name,https://www.facebook.com/pages/Massage-by-Netranie-LLC/169154379809500,https://twitter.com/netranie,,http://www.yelp.com/biz/massage-by-netranie-new-york,5,11,"Studio,clean,calming,simple",,
10,Proactive Therapy nyc,Massage therapy,"Proactive Therapy NYC 928 Broadway Suite 600 New York, NY. 10011",(516) 768-1978,proactivetherapynyc@gmail.com,http://www.proactivetherapynyc.com/,https://www.linkedin.com/pub/james-giacinto-lmt/8a/652/734,,,,,,,,,
